user_patch,librarian_slot,family,factory_name,stored_name,name_matches_factory,category,mfx,chorus_type,reverb_type,tone1,tone2,tone3,tone4
12,1-13,Synth Lead 1,GR300 Lead 2,GR300 Lead 2,True,22,1:EQUALIZER,2,4,on 192:GR-300 Saw 2 +0,on 192:GR-300 Saw 2 +0,on 114:Trumpet 1 +0,off 0:None +0
13,1-14,Synth Lead 1,Alpha Spit,Alpha Spit,True,22,4:LOW BOOST,2,0,on 174:Juno Saw HD +0,off 0:None +0,off 0:None +0,off 0:None +0
14,1-15,Synth Lead 1,Pro Fat Ld,Pro Fat Ld,True,22,1:EQUALIZER,2,4,on 186:D-50 Saw +0,on 186:D-50 Saw +0,off 0:None +0,off 0:None +0
15,1-16,Synth Lead 1,Fat GR Lead,Fat GR Lead,True,22,41:LIMITER,2,0,on 192:GR-300 Saw 2 -22,on 192:GR-300 Saw 2 -2,on 192:GR-300 Saw 2 +0,off 192:GR-300 Saw 2 -12
16,1-17,Synth Lead 1,Bright Pls,Bright Pls,True,22,52:3D DELAY,1,3,on 205:JP8 Pls 15HD +8,on 205:JP8 Pls 15HD +2,on 192:GR-300 Saw 2 -2,off 0:None +0
17,1-18,Synth Lead 1,Octa Juice,Octa Juice,True,22,24:FLANGER,2,0,on 177:MG Saw HD -22,on 177:MG Saw HD -2,on 177:MG Saw HD +0,off 177:MG Saw HD +0
18,1-19,Synth Lead 1,Octa Saw,Octa Saw,True,22,41:LIMITER,2,0,on 189:LA-Saw -22,on 189:LA-Saw -2,on 189:LA-Saw +0,off 189:LA-Saw -12
19,1-20,Synth Lead 1,Octa Sync,Octa Sync,True,22,41:LIMITER,2,0,on 219:Sync Sweep -22,on 219:Sync Sweep -2,on 219:Sync Sweep +0,off 219:Sync Sweep -12
20,1-21,Synth Lead 1,Phase Lead,Phase Lead,True,22,14:INFINITE PHASER,2,0,on 180:Calc.Saw -12,on 180:Calc.Saw -12,off 0:None -12,off 0:None -12
21,1-22,Synth Lead 1,Waspy Lead,Waspy Lead,True,22,41:LIMITER,2,4,on 210:Syn Pulse 1 +0,off 210:Syn Pulse 1 +0,off 0:None +0,off 0:None +0
22,1-23,Synth Lead 1,Follow Me,Follow Me,True,22,40:COMPRESSOR,2,3,on 177:MG Saw HD +0,on 176:Custm Saw HD +0,off 0:None -12,off 0:None +0
23,1-24,Synth Lead 1,Digi Lead 1,Digi Lead 1,True,22,1:EQUALIZER,2,4,on 166:JD WallyWave +0,on 166:JD WallyWave +0,off 0:None +0,off 0:None +0
24,1-25,Synth Lead 1,Digi Lead 2,Digi Lead 2,True,22,1:EQUALIZER,2,4,on 165:Digital Vox +0,off 185:JP-8 Saw -12,off 0:None +0,off 0:None +0
25,1-26,Synth Lead 1,Hot Coffee,Hot Coffee,True,22,43:DELAY,0,0,on 182:Synth Saw -12,on 189:LA-Saw -12,off 0:None -12,off 0:None -12
26,1-27,Synth Lead 1,Hot Sync,Hot Sync,True,22,43:DELAY,0,0,on 220:Sine -12,on 219:Sync Sweep -24,off 0:None -12,off 0:None -12
27,1-28,Synth Lead 1,Sync Tank,Sync Tank,True,22,46:MODULATION DELAY,2,3,on 123:Trance Saw +0,on 219:Sync Sweep +0,off 0:None +0,off 0:None +0
28,1-29,Synth Lead 1,2krazy Brite,2krazy Brite,True,22,57:LOFI COMPRESS,2,4,off 0:None -5,off 0:None +0,on 219:Sync Sweep +0,off 0:None +0
29,1-30,Synth Lead 1,Juicy Lead,Juicy Lead,True,22,49:MULTI TAP DELAY,0,3,on 192:GR-300 Saw 2 +0,on 192:GR-300 Saw 2 +0,on 220:Sine -12,off 0:None +7
30,1-31,Synth Lead 1,Vintager,Vintager,True,22,4:LOW BOOST,1,3,on 188:SH-2 Saw -24,on 188:SH-2 Saw +0,on 188:SH-2 Saw -24,on 188:SH-2 Saw +0
31,1-32,Synth Lead 1,BagShakuLead,BagShakuLead,True,32,64:REVERB,1,3,on 185:JP-8 Saw +0,on 122:Super Saw +0,on 164:Bagpipe +0,on 101:Shakuhachi +12
32,2-1,Synth Lead 2,ResoSawLead,ResoSawLead,True,23,1:EQUALIZER,2,4,on 180:Calc.Saw +0,on 180:Calc.Saw +0,off 0:None +0,off 0:None +0
33,2-2,Synth Lead 2,Theramax 1,Theramax 1,True,23,43:DELAY,0,4,on 190:Air Wave +0,on 190:Air Wave +48,off 0:None +0,off 0:None +0
34,2-3,Synth Lead 2,AX Sqr Lead,AX Sqr Lead,True,23,1:EQUALIZER,2,3,on 197:JP-8 Square +0,on 197:JP-8 Square +0,off 1:JD Piano +0,off 1:JD Piano +0
35,2-4,Synth Lead 2,Pulse Lead 1,Pulse Lead 1,True,23,1:EQUALIZER,2,4,on 204:JP8 Pls 10HD +0,on 204:JP8 Pls 10HD +0,off 0:None +0,off 0:None +0
36,2-5,Synth Lead 2,Pulse Lead 2,Pulse Lead 2,True,23,1:EQUALIZER,2,4,on 206:JP8 Pls 25HD +0,on 206:JP8 Pls 25HD +0,off 0:None +0,off 0:None +0
37,2-6,Synth Lead 2,Mid Saw Ld,Mid Saw Ld,True,23,1:EQUALIZER,2,3,on 177:MG Saw HD +0,on 177:MG Saw HD +0,on 189:LA-Saw +7,on 189:LA-Saw +7
38,2-7,Synth Lead 2,On Air,On Air,True,23,1:EQUALIZER,1,1,on 190:Air Wave +0,off 0:None +0,off 0:None +0,off 0:None +0
39,2-8,Synth Lead 2,2krazy Soft,2krazy Soft,True,23,57:LOFI COMPRESS,2,4,off 0:None -5,off 0:None +0,on 218:VS-Ramp +0,off 0:None +0
40,2-9,Synth Lead 2,Soft Lead,Soft Lead,True,23,46:MODULATION DELAY,0,3,on 190:Air Wave +0,off 0:None +0,off 0:None +0,off 0:None +0
41,2-10,Synth Lead 2,Tri Lead 1,Tri Lead 1,True,23,1:EQUALIZER,2,4,on 213:700 Triangle +0,on 213:700 Triangle +0,off 0:None +0,off 0:None +0
42,2-11,Synth Lead 2,Tri Lead 2,Tri Lead 2,True,23,1:EQUALIZER,2,4,on 213:700 Triangle +0,on 213:700 Triangle +0,off 0:None +0,off 0:None +0
43,2-12,Synth Lead 2,Sine Lead 1,Sine Lead 1,True,23,1:EQUALIZER,2,4,on 220:Sine +0,on 220:Sine +0,off 0:None +0,off 0:None +0
44,2-13,Synth Lead 2,Sine Lead 2,Sine Lead 2,True,23,1:EQUALIZER,2,4,on 220:Sine +0,on 220:Sine +0,off 0:None +0,off 0:None +0
45,2-14,Synth Lead 2,Simple Sine,Simple Sine,True,23,41:LIMITER,2,0,on 220:Sine -10,on 220:Sine +10,on 220:Sine +0,off 220:Sine -12
46,2-15,Synth Lead 2,Simple Tri,Simple Tri,True,23,41:LIMITER,2,0,on 216:VS-Triangle -10,on 216:VS-Triangle +10,on 216:VS-Triangle +0,off 216:VS-Triangle -12
47,2-16,Synth Lead 2,Simple Sqr,Simple Sqr,True,23,41:LIMITER,2,0,on 200:LA-Square -10,on 200:LA-Square +10,on 200:LA-Square +0,off 200:LA-Square -12
48,2-17,Synth Lead 2,Spooky Lead,Spooky Lead,True,23,1:EQUALIZER,1,1,on 220:Sine +0,off 0:None +0,off 0:None +0,off 0:None +0
49,2-18,Synth Lead 2,Ramp Lead,Ramp Lead,True,23,26:HEXA-CHORUS,2,3,off 0:None +12,off 0:None +0,on 216:VS-Triangle +0,on 218:VS-Ramp +0
50,2-19,Synth Lead 2,Air Lead,Air Lead,True,23,1:EQUALIZER,2,2,on 190:Air Wave +0,on 190:Air Wave +0,off 0:None +12,off 0:None +12
51,2-20,Synth Lead 2,Growl Lead,Growl Lead,True,23,28:SPACE-D,2,3,on 180:Calc.Saw +12,on 122:Super Saw +0,off 180:Calc.Saw +12,off 122:Super Saw +0
52,2-21,Synth Lead 2,Pulstar Ld,Pulstar Ld,True,23,4:LOW BOOST,2,3,on 180:Calc.Saw +0,off 180:Calc.Saw +0,off 0:None +0,off 0:None +0
53,2-22,Synth Lead 2,Mini Growl,Mini Growl,True,23,43:DELAY,2,4,on 180:Calc.Saw +0,on 181:Calc.Saw inv +0,off 0:None +0,off 0:None +0
54,2-23,Synth Lead 2,Round SQR,Round SQR,True,23,1:EQUALIZER,2,3,on 200:LA-Square +0,on 200:LA-Square +0,off 0:None +0,off 0:None +0
55,2-24,Synth Lead 2,Brite Square,Brite Square,True,23,52:3D DELAY,1,3,on 200:LA-Square +8,on 200:LA-Square +2,on 200:LA-Square -2,off 0:None +0
56,2-25,Synth Lead 2,Octa Square,Octa Square,True,22,41:LIMITER,2,0,on 195:P5 Sqr HD -22,on 195:P5 Sqr HD -2,on 195:P5 Sqr HD +0,off 195:P5 Sqr HD -12
57,2-26,Synth Lead 2,Square SAW,Square SAW,True,23,1:EQUALIZER,2,3,on 174:Juno Saw HD +0,on 174:Juno Saw HD +0,off 0:None +0,off 0:None +0
58,2-27,Synth Lead 2,Soft Squ Ld,Soft Squ Ld,True,23,1:EQUALIZER,1,3,on 125:OB2 Pad 1 +8,on 197:JP-8 Square +2,on 125:OB2 Pad 1 +8,on 197:JP-8 Square +2
59,2-28,Synth Lead 2,Wormy Lead,Wormy Lead,True,23,1:EQUALIZER,2,4,on 175:TB303 Saw HD +0,off 0:None +12,off 0:None -12,off 0:None -12
60,2-29,Synth Lead 2,Theramax 2,Theramax 2,True,23,43:DELAY,0,4,on 190:Air Wave +0,on 190:Air Wave +48,off 0:None +0,off 0:None +0
61,2-30,Synth Lead 2,SoloNzPeaker,SoloNzPeaker,True,23,0:THROUGH,2,4,on 232:White Noise -12,on 220:Sine +12,off 1:JD Piano +0,off 1:JD Piano +0
62,2-31,Synth Lead 2,Mlt Pipes,Mlt Pipes,True,23,62:2VOICE PITCH SHIFTER,1,2,on 100:Pan Flute +0,on 101:Shakuhachi +0,on 144:Marimba +0,on 143:JD Xylo +0
63,2-32,Synth Lead 2,5th SawLead,5th SawLead,True,23,1:EQUALIZER,2,4,on 180:Calc.Saw +0,on 180:Calc.Saw +0,on 180:Calc.Saw +7,on 180:Calc.Saw +7
64,3-1,Bass,Reso Bs 1,Reso Bs 1,True,13,4:LOW BOOST,0,0,on 174:Juno Saw HD +0,off 194:Juno Sqr HD -12,off 0:None +0,off 0:None +0
65,3-2,Bass,Round Bs,Round Bs,True,13,4:LOW BOOST,1,0,on 190:Air Wave +0,on 190:Air Wave +0,off 180:Calc.Saw +0,off 219:Sync Sweep +0
66,3-3,Bass,Moogue Bs1,Moogue Bs1,True,13,40:COMPRESSOR,0,0,on 177:MG Saw HD +0,on 177:MG Saw HD -12,on 220:Sine +0,off 0:None +0
67,3-4,Bass,Monster Bass,Monster Bass,True,13,4:LOW BOOST,1,0,on 174:Juno Saw HD +0,on 193:TB Dist Saw +0,on 193:TB Dist Saw +0,on 219:Sync Sweep +0
68,3-5,Bass,Moogue Bs2,Moogue Bs2,True,13,4:LOW BOOST,0,0,on 177:MG Saw HD +0,on 177:MG Saw HD -12,off 0:None +0,off 0:None +0
69,3-6,Bass,Triangle Bs,Triangle Bs,True,13,4:LOW BOOST,1,0,off 216:VS-Triangle +0,on 216:VS-Triangle +0,off 180:Calc.Saw +0,off 219:Sync Sweep +0
70,3-7,Bass,Punch MG,Punch MG,True,13,40:COMPRESSOR,1,0,on 180:Calc.Saw -24,on 180:Calc.Saw -24,off 260:VK Full Org2 +0,off 131:Female Ahs +0
71,3-8,Bass,Acdg Bass,Acdg Bass,True,13,1:EQUALIZER,1,3,on 175:TB303 Saw HD -12,on 175:TB303 Saw HD -12,off 0:None +0,off 0:None +0
72,3-9,Bass,Alpha Bs,Alpha Bs,True,13,4:LOW BOOST,0,0,on 174:Juno Saw HD +0,on 194:Juno Sqr HD -12,off 0:None +0,off 0:None +0
73,3-10,Bass,Reso Bs 2,Reso Bs 1,False,13,4:LOW BOOST,0,0,on 174:Juno Saw HD +0,off 194:Juno Sqr HD -12,off 0:None +0,off 0:None +0
74,3-11,Bass,Reso Bs 3,Reso Bs 2,False,13,4:LOW BOOST,0,0,on 198:SH-2 Square +0,on 194:Juno Sqr HD -12,off 0:None +0,off 0:None +0
75,3-12,Bass,MKS-50 SBs,MKS-50 SBs,True,13,4:LOW BOOST,0,0,on 174:Juno Saw HD +0,on 194:Juno Sqr HD -12,off 0:None +0,off 0:None +0
76,3-13,Bass,TB Dist Bs,TB Dist Bs,True,13,4:LOW BOOST,0,0,on 193:TB Dist Saw -12,off 0:None -12,off 0:None +0,off 0:None +0
77,3-14,Bass,TB Bs,TB Bs,True,13,4:LOW BOOST,0,0,on 179:P5 Saw HD -12,on 179:P5 Saw HD -12,off 0:None +0,off 0:None +0
78,3-15,Bass,Fat Analog,Fat Analog,True,13,4:LOW BOOST,0,0,on 179:P5 Saw HD -12,on 175:TB303 Saw HD -12,off 0:None +0,off 0:None +0
79,3-16,Bass,Compu SBs,Compu SBs,True,13,4:LOW BOOST,1,0,on 216:VS-Triangle +12,on 216:VS-Triangle +0,on 216:VS-Triangle -12,on 216:VS-Triangle -24
80,3-17,Bass,Modular Bs1,Modular Bs1,True,13,4:LOW BOOST,1,0,on 219:Sync Sweep +12,on 219:Sync Sweep +0,on 219:Sync Sweep -12,on 219:Sync Sweep -24
81,3-18,Bass,Modular Bs2,Modular Bs2,True,13,4:LOW BOOST,1,0,on 176:Custm Saw HD +12,on 176:Custm Saw HD +0,on 176:Custm Saw HD -12,on 176:Custm Saw HD -24
82,3-19,Bass,Garage Bass,Garage Bass,True,13,4:LOW BOOST,1,0,on 273:Vint. Org 1 +12,on 273:Vint. Org 1 +0,on 273:Vint. Org 1 -12,on 273:Vint. Org 1 -24
83,3-20,Bass,Spike Bs,Spike Bs,True,13,4:LOW BOOST,1,0,on 177:MG Saw HD +0,on 177:MG Saw HD +0,off 180:Calc.Saw +0,on 219:Sync Sweep +0
84,3-21,Bass,FatMG Bs,FatMG Bs,True,13,4:LOW BOOST,1,0,on 177:MG Saw HD +0,on 177:MG Saw HD +0,off 180:Calc.Saw +0,on 219:Sync Sweep +0
85,3-22,Bass,JunoSqu Bs,JunoSqu Bs,True,13,40:COMPRESSOR,1,0,on 194:Juno Sqr HD -24,on 194:Juno Sqr HD -24,off 260:VK Full Org2 +0,off 131:Female Ahs +0
86,3-23,Bass,Acoustic Bs1,Acoustic Bs1,True,12,41:LIMITER,0,0,on 69:Fat Ac.Bs p +6,on 69:Fat Ac.Bs p +0,on 70:Fat Ac.Bs f +0,on 69:Fat Ac.Bs p +0
87,3-24,Bass,Acoustic Bs2,Acoustic Bs2,True,12,1:EQUALIZER,0,0,on 69:Fat Ac.Bs p +6,on 69:Fat Ac.Bs p +0,on 70:Fat Ac.Bs f +0,on 69:Fat Ac.Bs p +0
88,3-25,Bass,Finger EBs 1,Finger EBs 1,True,12,41:LIMITER,0,0,on 72:Fng.EBs 1 mf +6,on 72:Fng.EBs 1 mf +0,on 73:Fng.EBs 1 ff +0,on 72:Fng.EBs 1 mf +0
89,3-26,Bass,Finger EBs 2,Finger EBs 2,True,12,41:LIMITER,0,0,on 74:Fng.EBs 2 mf +6,on 74:Fng.EBs 2 mf +0,on 75:Fng.EBs 2 f +0,on 74:Fng.EBs 2 mf +0
90,3-27,Bass,Finger EBs 3,Finger EBs 3,True,12,41:LIMITER,0,0,on 76:Fng.Comp Bs +4,on 76:Fng.Comp Bs +0,on 76:Fng.Comp Bs -4,on 76:Fng.Comp Bs +0
91,3-28,Bass,Finger EBs 4,Finger EBs 4,True,12,41:LIMITER,0,0,on 77:Finger Bs +4,on 77:Finger Bs +0,on 77:Finger Bs -4,on 77:Finger Bs +0
92,3-29,Bass,Pick Bs 1,Pick Bs 1,True,12,41:LIMITER,0,0,on 78:P.Bass +4,on 78:P.Bass +0,on 78:P.Bass -4,on 78:P.Bass +0
93,3-30,Bass,Pick Bs 2,Pick Bs 2,True,12,41:LIMITER,0,0,on 82:Pick E.Bs f +4,on 82:Pick E.Bs f +0,on 82:Pick E.Bs f -4,on 82:Pick E.Bs f +0
94,3-31,Bass,Fretnot Bs,Fretnot Bs,True,12,41:LIMITER,1,2,on 81:Fretlss Sft +0,on 80:Fretlss Bs +0,off 0:None -4,off 0:None +0
95,3-32,Bass,Slap Bass,Slap Bass,True,12,4:LOW BOOST,1,0,on 88:Slap Bass -12,on 89:Slap + Pull -12,off 0:None -12,off 0:None -12
96,4-1,Lead Guitar,SearingGtr 1,SearingGtr 1,True,11,39:GUITAR AMP SIMULATOR,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,off 0:None +0
97,4-2,Lead Guitar,SearingGtr 2,SearingGtr 2,True,11,39:GUITAR AMP SIMULATOR,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,off 0:None +0
98,4-3,Lead Guitar,SearingGtr 3,SearingGtr 3,True,11,38:VS DISTORTION,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,off 0:None +0
99,4-4,Lead Guitar,SearingGtr 4,SearingGtr 4,True,11,38:VS DISTORTION,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,off 0:None +0
100,4-5,Lead Guitar,OctSearingGt,OctSearingGt,True,11,39:GUITAR AMP SIMULATOR,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,on 2:Stage EP p -12
101,4-6,Lead Guitar,Dist.Fingerz,Dist.Fingerz,True,11,39:GUITAR AMP SIMULATOR,2,2,on 56:Clean Gtr +0,on 58:FstPick 70s +0,off 0:None +0,off 0:None +0
102,4-7,Lead Guitar,AX DistGt,AX DistGt,True,11,39:GUITAR AMP SIMULATOR,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,on 2:Stage EP p -12
103,4-8,Lead Guitar,Digi DistGt,Digi DistGt,True,11,39:GUITAR AMP SIMULATOR,2,4,on 61:Overdrive Gt +0,on 220:Sine +7,on 2:Stage EP p +0,on 2:Stage EP p -12
104,4-9,Lead Guitar,Fuzz,Fuzz,True,11,39:GUITAR AMP SIMULATOR,1,0,on 174:Juno Saw HD +0,on 193:TB Dist Saw +0,on 193:TB Dist Saw +0,on 219:Sync Sweep +0
105,4-10,Lead Guitar,Nice Dist Gt,Nice Dist Gt,True,11,38:VS DISTORTION,2,2,on 60:Funk Mute Gt +0,on 58:FstPick 70s +0,on 57:Bright Strat +0,off 619:None +0
106,4-11,Lead Guitar,Guitar Rip,Guitar Rip,True,11,39:GUITAR AMP SIMULATOR,1,2,on 56:Clean Gtr -12,on 59:Funk Gtr -12,on 249:Org Click 1 -4,off 619:None +0
107,4-12,Lead Guitar,Twin,Twin,True,11,39:GUITAR AMP SIMULATOR,2,4,on 56:Clean Gtr +6,on 56:Clean Gtr +0,on 56:Clean Gtr -4,off 0:None -12
108,4-13,Lead Guitar,MS1959 I,MS1959 I,True,11,39:GUITAR AMP SIMULATOR,2,4,on 56:Clean Gtr +6,on 56:Clean Gtr +0,on 56:Clean Gtr -4,off 0:None -12
109,4-14,Lead Guitar,MS1959 II,MS1959 II,True,11,39:GUITAR AMP SIMULATOR,2,4,on 56:Clean Gtr +6,on 56:Clean Gtr +0,on 56:Clean Gtr -4,off 0:None -12
110,4-15,Lead Guitar,Metal Lead,Metal Lead,True,11,39:GUITAR AMP SIMULATOR,2,4,on 56:Clean Gtr +6,on 56:Clean Gtr +0,on 56:Clean Gtr -4,off 0:None -12
111,4-16,Lead Guitar,OD-2 Turbo,OD-2 Turbo,True,11,39:GUITAR AMP SIMULATOR,2,4,on 60:Funk Mute Gt +6,on 60:Funk Mute Gt +0,on 60:Funk Mute Gt -4,off 0:None -12
112,4-17,Lead Guitar,Jazz EGtr,Jazz EGtr,True,10,10:SPEAKER SIMULATOR,1,3,on 55:Jazz Gtr +6,on 55:Jazz Gtr +0,on 55:Jazz Gtr -4,off 0:None -12
113,4-18,Lead Guitar,Clean EGtr,Clean EGtr,True,10,10:SPEAKER SIMULATOR,1,3,on 56:Clean Gtr +6,on 56:Clean Gtr +0,on 56:Clean Gtr -4,off 0:None -12
114,4-19,Lead Guitar,Pick EGtr,Pick EGtr,True,10,10:SPEAKER SIMULATOR,1,3,on 58:FstPick 70s +6,on 58:FstPick 70s +0,on 58:FstPick 70s -4,off 0:None -12
115,4-20,Lead Guitar,Funk EGtr,Funk EGtr,True,10,40:COMPRESSOR,1,2,on 60:Funk Mute Gt +0,on 59:Funk Gtr +0,on 59:Funk Gtr -4,off 0:None -12
116,4-21,Lead Guitar,Strat EGtr,Strat EGtr,True,10,26:HEXA-CHORUS,1,1,on 58:FstPick 70s +6,on 58:FstPick 70s +3,on 58:FstPick 70s +0,off 0:None +0
117,4-22,Lead Guitar,Nylon Gtr 1,Nylon Gtr 1,True,9,1:EQUALIZER,0,3,on 49:Brt N.Gtr p +0,on 50:Brt N.Gtr mf +0,on 51:Brt N.Gtr ff +0,on 49:Brt N.Gtr p +0
118,4-23,Lead Guitar,Nylon Gtr 2,Nylon Gtr 2,True,9,1:EQUALIZER,0,3,on 49:Brt N.Gtr p +8,on 50:Brt N.Gtr mf +8,on 51:Brt N.Gtr ff +8,on 49:Brt N.Gtr p +8
119,4-24,Lead Guitar,Nylon Gtr 3,Nylon Gtr 3,True,9,1:EQUALIZER,0,3,on 49:Brt N.Gtr p -8,on 50:Brt N.Gtr mf -8,on 51:Brt N.Gtr ff -8,on 49:Brt N.Gtr p -8
120,4-25,Lead Guitar,Folk Gtr 1,Folk Gtr 1,True,9,1:EQUALIZER,0,3,on 52:Ac.Gtr mp +0,on 53:Ac.Gtr mf +0,on 54:Ac.Gtr ff +0,on 54:Ac.Gtr ff +0
121,4-26,Lead Guitar,Folk Gtr 2,Folk Gtr 2,True,9,1:EQUALIZER,0,4,on 52:Ac.Gtr mp +8,on 53:Ac.Gtr mf +8,on 54:Ac.Gtr ff +8,on 54:Ac.Gtr ff +8
122,4-27,Lead Guitar,Folk Gtr 3,Folk Gtr 3,True,9,1:EQUALIZER,1,4,on 52:Ac.Gtr mp -7,on 53:Ac.Gtr mf -7,on 54:Ac.Gtr ff -7,on 54:Ac.Gtr ff -7
123,4-28,Lead Guitar,Harp,Harp,True,31,1:EQUALIZER,1,3,on 63:Harp +8,on 63:Harp +0,off 0:None +0,off 0:None +0
124,4-29,Lead Guitar,Aerial Harp,Aerial Harp,True,31,26:HEXA-CHORUS,1,3,on 63:Harp +8,on 63:Harp +0,off 0:None +0,off 0:None +0
125,4-30,Lead Guitar,LostParadise,LostParadise,True,31,50:REVERSE DELAY,2,3,on 63:Harp +0,on 136:Gospel Hum +0,on 304:US Strings R +0,on 243:Xylo Seq. +0
126,4-31,Lead Guitar,Sitar,Sitar,True,31,1:EQUALIZER,2,3,on 64:Sitar +0,on 65:Sitar Drone +0,off 0:None +0,off 0:None +12
127,4-32,Lead Guitar,Santur Stack,Santur Stack,True,32,1:EQUALIZER,1,3,on 1:JD Piano +0,on 67:Santur +0,on 68:Dulcimer +0,on 54:Ac.Gtr ff +0
128,5-1,Brass/Poly Synth,80s Brass 1,80s Brass 1,True,20,0:THROUGH,2,3,on 121:Unison Saw +0,on 121:Unison Saw +0,on 185:JP-8 Saw +0,off 151:Agogo 2 Low +0
129,5-2,Brass/Poly Synth,80s Brass 2,80s Brass 2,True,20,0:THROUGH,2,3,on 121:Unison Saw +0,on 177:MG Saw HD +0,on 122:Super Saw +0,on 185:JP-8 Saw +0
130,5-3,Brass/Poly Synth,Soft SynBrs,Soft SynBrs,True,20,41:LIMITER,2,3,on 121:Unison Saw +0,off 0:None +0,off 0:None +0,off 0:None +0
131,5-4,Brass/Poly Synth,Brite SynBrs,Brite SynBrs,True,20,1:EQUALIZER,1,3,on 121:Unison Saw +0,on 177:MG Saw HD +0,off 0:None +0,off 0:None +0
132,5-5,Brass/Poly Synth,Wide SynBrs,Wide SynBrs,True,20,1:EQUALIZER,2,4,on 121:Unison Saw +0,on 122:Super Saw +0,off 0:None +0,off 0:None +0
133,5-6,Brass/Poly Synth,Analog Brass,Analog Brass,True,20,23:CHORUS,2,3,on 177:MG Saw HD +0,on 177:MG Saw HD -12,on 177:MG Saw HD +12,off 151:Agogo 2 Low +0
134,5-7,Brass/Poly Synth,Juno Brass,Juno Brass,True,20,4:LOW BOOST,0,1,on 174:Juno Saw HD -12,on 220:Sine -12,off 0:None +0,off 0:None +0
135,5-8,Brass/Poly Synth,Poly Brass,Poly Brass,True,20,4:LOW BOOST,2,0,on 177:MG Saw HD -12,on 186:D-50 Saw -12,off 182:Synth Saw -12,off 182:Synth Saw -12
136,5-9,Brass/Poly Synth,106 Brass,106 Brass,True,20,4:LOW BOOST,1,1,on 180:Calc.Saw -12,off 220:Sine -12,off 0:None +0,off 0:None +0
137,5-10,Brass/Poly Synth,Octa Brass,Octa Brass,True,20,1:EQUALIZER,2,3,on 182:Synth Saw +0,on 182:Synth Saw -12,on 182:Synth Saw +0,on 182:Synth Saw -12
138,5-11,Brass/Poly Synth,AX BrassSect,AX BrassSect,True,19,1:EQUALIZER,0,3,on 115:Tp Section +0,on 115:Tp Section +0,on 297:Trumpet 2 p +0,on 298:Trumpet 2 mf +0
